target_id	length	eff_length	est_counts	tpm
NM_001123523.1	1007	958	27.9267	5.66542
NM_001123524.1	2758	2709	0	0
NM_001123525.1	1128	1079	1125.41	202.707
NM_001123526.1	720	671	109.855	31.8182
NM_001123527.1	607	558	0	0
NM_001123528.1	866	817	0	0
NM_001123529.1	1560	1511	0	0
NM_001123530.2	1006	957	0	0
NM_001123531.1	473	424	2484.03	1138.59
NM_001123532.1	2625	2576	3089.22	233.067
NM_001123533.1	5496	5447	6.85498	0.244583
NM_001123534.1	5413	5364	1.14502	0.0414861
NM_001123535.1	1519	1470	30.1698	3.98871
NM_001123536.2	1974	1925	8	0.807677
NM_001123537.1	1551	1502	0	0
NM_001123538.1	600	551	3183.06	1122.72
NM_001123539.2	1626	1577	7.32897	0.903212
NM_001123540.1	2298	2249	0	0
NM_001123541.2	2204	2155	15.0635	1.35849
NM_001123542.2	2650	2601	0	0
NM_001123543.1	5790	5741	15.1871	0.514121
NM_001123544.1	963	914	6667.46	1417.73
NM_001123545.2	1212	1163	0	0
NM_001123546.1	2528	2479	0	0
NM_001123547.1	1282	1233	0	0
NM_001123548.1	1551	1502	2.26469	0.293033
NM_001123549.1	2500	2451	0	0
NM_001123550.1	2364	2315	23.5327	1.9756
NM_001123551.1	848	799	0	0
NM_001123552.1	2496	2447	9	0.714804
NM_001123553.1	2728	2679	33.0117	2.39482
NM_001123554.1	1319	1270	0	0
NM_001123555.1	2722	2673	19.1904	1.39529
NM_001123556.1	4451	4402	9.04461	0.399317
NM_001123557.1	1684	1635	0	0
NM_001123558.1	1132	1083	0	0
NM_001123559.2	1679	1630	1	0.119231
NM_001123560.1	1644	1595	0.0989273	0.0120541
NM_001123561.1	1086	1037	57.3642	10.7508
NM_001123562.1	1432	1383	29.9239	4.20508
NM_001123563.1	1260	1211	0	0
NM_001123564.2	606	557	0	0
NM_001123565.1	5859	5810	18.6362	0.623389
NM_001123566.1	3138	3089	20.7744	1.30704
NM_001123567.2	1955	1906	21	2.14129
NM_001123568.1	802	753	0	0
NM_001123569.1	614	565	0	0
NM_001123570.1	1290	1241	0	0
NM_001123571.1	4051	4002	0	0
NM_001123572.1	1500	1451	4.25361	0.569729
NM_001123573.1	920	871	1	0.223131
NM_001123574.1	677	628	0	0
NM_001123575.2	2122	2073	18.5797	1.74188
NM_001123576.2	2651	2602	59.2863	4.42818
NM_001123577.2	2684	2635	34	2.50771
NM_001123578.1	426	377	7	3.60857
NM_001123579.1	1791	1742	9.55017	1.06547
NM_001123580.1	1024	975	0	0
NM_001123581.1	1619	1570	35	4.33258
NM_001123582.1	869	820	1	0.237009
NM_001123583.1	1065	1016	0	0
NM_001123584.1	1320	1271	0	0
NM_001123585.1	2303	2254	1221	105.279
NM_001123586.1	624	575	0	0
NM_001123587.1	697	648	25	7.49796
NM_001123588.1	4791	4742	0	0
NM_001123589.1	1400	1351	0	0
NM_001123590.1	1433	1384	0	0
NM_001123591.2	1180	1131	5	0.859183
NM_001123592.1	1936	1887	1.47101	0.151503
NM_001123593.1	1089	1040	0	0
NM_001123594.1	2608	2559	13.7137	1.04151
NM_001123595.1	2621	2572	6.07414	0.458978
NM_001123596.1	1028	979	0	0
NM_001123597.1	884	835	0	0
NM_001123598.2	876	827	0	0
NM_001123599.1	1383	1334	0	0
NM_001123600.2	787	738	0	0
NM_001123601.1	1340	1291	0	0
NM_001123602.1	1595	1546	0	0
NM_001123603.1	1220	1171	0	0
NM_001123604.1	2307	2258	0	0
NM_001123605.1	1329	1280	4	0.607335
NM_001123606.1	1195	1146	274.952	46.6284
NM_001123607.1	1125	1076	0	0
NM_001123609.1	629	580	30	10.0524
NM_001123611.1	2100	2051	0	0
NM_001123612.1	1852	1803	14.3373	1.54543
NM_001123613.2	606	557	1	0.348918
NM_001123614.1	1158	1109	27.6826	4.85126
NM_001123615.1	1050	1001	0	0
NM_001123616.1	898	849	26.1768	5.99221
NM_001123617.1	1938	1889	0	0
NM_001123618.1	848	799	0	0
NM_001123619.1	2086	2037	9.3266	0.889838
NM_001123620.1	1167	1118	0.00218537	0.000379894
NM_001123621.1	1028	979	0	0
NM_001123622.1	1113	1064	0	0
NM_001123623.1	919	870	0	0
NM_001123624.1	738	689	0	0
NM_001123625.1	843	794	1	0.24477
NM_001123626.1	972	923	0	0
NM_001123627.1	1316	1267	68.4863	10.5052
NM_001123628.1	1436	1387	4.52144	0.633546
NM_001123629.1	1445	1396	1938.88	269.925
NM_001123630.1	3883	3834	0	0
NM_001123631.1	751	702	0	0
NM_001123632.1	1547	1498	4.74819	0.61602
NM_001123633.1	2668	2619	0	0
NM_001123634.1	2365	2316	0	0
NM_001123635.1	1462	1413	7.91263	1.08832
NM_001123636.1	2609	2560	0	0
NM_001123637.1	1668	1619	0	0
NM_001123638.1	1654	1605	1	0.121089
NM_001123639.1	1713	1664	4	0.467181
NM_001123640.1	592	543	0	0
NM_001123642.1	1908	1859	21.5207	2.24985
NM_001123643.1	2031	1982	0	0
NM_001123644.1	720	671	0	0
NM_001123645.2	944	895	0	0
NM_001123646.1	1161	1112	0.997815	0.174391
NM_001123647.1	880	831	43	10.0565
NM_001123648.1	852	803	0	0
NM_001123649.1	813	764	7	1.78067
NM_001123650.1	600	551	0	0
NM_001123651.2	2958	2909	202.321	13.5169
NM_001123652.1	510	461	0	0
NM_001123653.1	3359	3310	2	0.11743
NM_001123654.1	2878	2829	4.76767	0.32753
NM_001123655.1	2557	2508	0	0
NM_001123656.1	1137	1088	48.9275	8.73982
NM_001123657.1	799	750	841.286	218.002
NM_001123658.1	1010	961	42.8113	8.65792
NM_001123659.1	844	795	0	0
NM_001123660.1	719	670	15	4.35106
NM_001123661.1	800	751	0	0
NM_001123662.1	556	507	0	0
NM_001123663.1	1113	1064	0	0
NM_001123665.1	2233	2184	0	0
NM_001123666.1	747	698	218.878	60.9432
NM_001123667.1	486	437	0	0
NM_001123668.1	1179	1130	0	0
NM_001123669.1	291	242	13	10.4401
NM_001123670.2	1638	1589	0	0
NM_001123671.1	882	833	0	0
NM_001123672.1	530	481	316.614	127.928
NM_001123673.1	2891	2842	27	1.84637
NM_001123674.1	2128	2079	0	0
NM_001123675.1	2548	2499	18.86	1.46674
NM_001123676.1	1169	1120	0	0
NM_001123677.1	298	249	47.5036	37.077
NM_001123678.1	2080	2031	1	0.0956904
NM_001123679.1	1766	1717	0	0
NM_001123680.1	1714	1665	0	0
NM_001123681.1	1779	1730	0	0
NM_001123682.1	1703	1654	0	0
NM_001123683.1	4040	3991	14.5424	0.708164
NM_001123684.1	3950	3901	7	0.348739
NM_001123686.1	3207	3158	6.39426	0.39351
NM_001123687.1	2626	2577	16	1.20666
NM_001123688.2	2511	2462	0	0
