"GeneID"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"SeqID.x"	"pident.x"	"length.x"	"mismatch.x"	"gapopen.x"	"qstart.x"	"qend.x"	"sstart.x"	"send.x"	"evalue.x"	"bitscore.x"	"NA."	"NA.1"	"SeqID.y"	"pident.y"	"length.y"	"mismatch.y"	"gapopen.y"	"qstart.y"	"qend.y"	"sstart.y"	"send.y"	"evalue.y"	"bitscore.y"	"NA"	"NA"
"1"	"g10017.t1"	24.0679317798547	-3.40192121065495	0.855918051021057	-3.97458752808949	7.05013315953008e-05	0.00196645169835753	"sp"	"Q8IVF7"	"FMNL3_HUMAN"	61.702	235	89	1	598	1302	223	456	1.18e-77	279	"sp"	"Q8IVF7"	"FMNL3_HUMAN"	61.702	235	89	1	598	1302	223	456	1.18e-77	279
"2"	"g10017.t1"	24.0679317798547	-3.40192121065495	0.855918051021057	-3.97458752808949	7.05013315953008e-05	0.00196645169835753	"sp"	"Q8IVF7"	"FMNL3_HUMAN"	61.702	235	89	1	598	1302	223	456	1.18e-77	279	"sp"	"Q8IVF7"	"FMNL3_HUMAN"	49.67	455	216	6	1714	3057	557	1005	1.57e-130	425
"3"	"g10017.t1"	24.0679317798547	-3.40192121065495	0.855918051021057	-3.97458752808949	7.05013315953008e-05	0.00196645169835753	"sp"	"Q8IVF7"	"FMNL3_HUMAN"	61.702	235	89	1	598	1302	223	456	1.18e-77	279	"sp"	"Q8IVF7"	"FMNL3_HUMAN"	56.627	83	35	1	238	486	45	126	9.89e-22	105
"4"	"g10017.t1"	24.0679317798547	-3.40192121065495	0.855918051021057	-3.97458752808949	7.05013315953008e-05	0.00196645169835753	"sp"	"Q8IVF7"	"FMNL3_HUMAN"	49.67	455	216	6	1714	3057	557	1005	1.57e-130	425	"sp"	"Q8IVF7"	"FMNL3_HUMAN"	61.702	235	89	1	598	1302	223	456	1.18e-77	279
"5"	"g10017.t1"	24.0679317798547	-3.40192121065495	0.855918051021057	-3.97458752808949	7.05013315953008e-05	0.00196645169835753	"sp"	"Q8IVF7"	"FMNL3_HUMAN"	49.67	455	216	6	1714	3057	557	1005	1.57e-130	425	"sp"	"Q8IVF7"	"FMNL3_HUMAN"	49.67	455	216	6	1714	3057	557	1005	1.57e-130	425
"6"	"g10017.t1"	24.0679317798547	-3.40192121065495	0.855918051021057	-3.97458752808949	7.05013315953008e-05	0.00196645169835753	"sp"	"Q8IVF7"	"FMNL3_HUMAN"	49.67	455	216	6	1714	3057	557	1005	1.57e-130	425	"sp"	"Q8IVF7"	"FMNL3_HUMAN"	56.627	83	35	1	238	486	45	126	9.89e-22	105
"7"	"g10017.t1"	24.0679317798547	-3.40192121065495	0.855918051021057	-3.97458752808949	7.05013315953008e-05	0.00196645169835753	"sp"	"Q8IVF7"	"FMNL3_HUMAN"	56.627	83	35	1	238	486	45	126	9.89e-22	105	"sp"	"Q8IVF7"	"FMNL3_HUMAN"	61.702	235	89	1	598	1302	223	456	1.18e-77	279
"8"	"g10017.t1"	24.0679317798547	-3.40192121065495	0.855918051021057	-3.97458752808949	7.05013315953008e-05	0.00196645169835753	"sp"	"Q8IVF7"	"FMNL3_HUMAN"	56.627	83	35	1	238	486	45	126	9.89e-22	105	"sp"	"Q8IVF7"	"FMNL3_HUMAN"	49.67	455	216	6	1714	3057	557	1005	1.57e-130	425
"9"	"g10017.t1"	24.0679317798547	-3.40192121065495	0.855918051021057	-3.97458752808949	7.05013315953008e-05	0.00196645169835753	"sp"	"Q8IVF7"	"FMNL3_HUMAN"	56.627	83	35	1	238	486	45	126	9.89e-22	105	"sp"	"Q8IVF7"	"FMNL3_HUMAN"	56.627	83	35	1	238	486	45	126	9.89e-22	105
"10"	"g10035.t1"	36.4696715548572	2.69608479161592	0.700838817731153	3.84693987177257	0.000119602306572041	0.00304674777493056	"sp"	"A5GFY8"	"SERA_PIG"	51.589	535	251	6	1	1587	1	533	0	531	"sp"	"A5GFY8"	"SERA_PIG"	51.589	535	251	6	1	1587	1	533	0	531
"11"	"g10104.t1"	88.2394910027325	-4.58496034594288	0.852381841665529	-5.37899814592953	7.49014801174338e-08	5.79106706802686e-06	"sp"	"P53396"	"ACLY_HUMAN"	81.579	456	84	0	1	1368	642	1097	0	795	"sp"	"P53396"	"ACLY_HUMAN"	81.579	456	84	0	1	1368	642	1097	0	795
"12"	"g10105.t2"	20.1576326300619	-5.63208909516867	1.39429377175917	-4.03938481921402	5.35915772192281e-05	0.00154870872659107	"sp"	"Q32PF2"	"ACLY_BOVIN"	62.55	251	86	3	1	753	391	633	3.81e-96	307	"sp"	"Q32PF2"	"ACLY_BOVIN"	62.55	251	86	3	1	753	391	633	3.81e-96	307
"13"	"g10106.t1"	28.7233124783296	-7.67004469276732	1.36450929761255	-5.62110108460781	1.89744203329263e-08	1.77915468951502e-06	"sp"	"Q91V92"	"ACLY_MOUSE"	66.887	302	99	1	19	921	43	344	4.87e-142	431	"sp"	"Q91V92"	"ACLY_MOUSE"	66.887	302	99	1	19	921	43	344	4.87e-142	431
"14"	"g10109.t1"	51.9442186508076	1.59256906081371	0.543937233349731	2.92785447138116	0.00341309757265865	0.0401107226738844	"sp"	"O88377"	"PI42B_RAT"	63.255	381	133	2	70	1194	36	415	8.97e-152	438	"sp"	"O88377"	"PI42B_RAT"	63.255	381	133	2	70	1194	36	415	8.97e-152	438
"15"	"g10162.t1"	16.2382404076601	4.77834475958501	1.29646238690468	3.68567943648049	0.000228093308245862	0.0052628649708875	"sp"	"P35353"	"CRFR1_RAT"	42.857	371	195	9	211	1299	37	398	2.82e-57	204	"sp"	"P35353"	"CRFR1_RAT"	42.857	371	195	9	211	1299	37	398	2.82e-57	204
